Data,Corretora,Ativo,Qtd,PM,Total,Retorno
31/12/22,XP,IVVB11,31,163.06,5054.86,4040.54
31/12/22,XP,HGBS11,25,188.13,4703.25,821.5
31/12/22,XP,XPML11,47,115.29,5418.63,82.72
31/12/22,XP,HGRU11,42,117.89,4951.38,537.6
31/12/22,XP,XPLG11,52,124.81,6490.12,-1033.24
31/12/22,XP,KNRI11,31,156.31,4845.61,219.79
31/12/22,XP,ALZR11,42,122.17,5131.14,-238.98
31/12/22,XP,BTLG11,47,102.38,4811.86,23.5
31/12/22,XP,HGLG11,29,173.07,5019.03,-212.86
31/12/22,XP,HGRE11,36,147.69,5316.84,-870.84
31/12/22,XP,BTAL11,44,99.74,4388.56,-1342.88
31/12/22,XP,ITUB3,217,23.76,5155.92,1093.68
31/12/22,XP,TOTS3,196,20.96,4108.16,1409.24
31/12/22,XP,ITSA3,539,12.79,6893.81,-1471.47
31/12/22,XP,WEGE3,121,12.35,1494.35,3235.54
31/12/22,XP,ENBR3,195,18.17,3543.15,510.9
31/12/22,XP,ARZZ3,74,49.02,3627.48,219.04
31/12/22,XP,BBSE3,115,22.33,2567.95,1183.35
31/12/22,XP,LEVE3,108,24.29,2623.32,845.64
31/12/22,XP,PSSA3,114,32.39,3692.46,-330.6
31/12/22,XP,SQIA3,221,18.92,4181.32,-859.69
31/12/22,XP,EQTL3,104,24.65,2563.6,705.12
31/12/22,XP,KLBN4,643,4.65,2989.95,-225.05
31/12/22,XP,RADL3,104,23.01,2393.04,335.92
31/12/22,XP,VIVA3,110,25.78,2835.8,-160.6
31/12/22,XP,B3SA3,229,12.63,2892.27,-219.84
31/12/22,XP,BBDC3,195,24.01,4681.95,-2287.35
31/12/22,XP,AGRO3,91,32.13,2923.83,-546.91
31/12/22,XP,EGIE3,54,42.95,2319.3,35.1
31/12/22,XP,HYPE3,67,29.96,2007.32,32.83
31/12/22,XP,FLRY3,133,21.42,2848.86,-863.17
31/12/22,XP,ABEV3,154,13.95,2148.3,-274.12
31/12/22,XP,SBFG3,113,27.88,3150.44,-1695
31/12/22,XP,FIQE3,343,3.86,1323.98,-30.87
31/12/22,XP,SOMA3,210,12.43,2610.3,-1331.4
31/12/22,XP,PETZ3,246,15.44,3798.24,-2607.6
31/12/22,XP,MOVI3,151,15.12,2283.12,-1111.36
31/12/22,XP,MGLU3,380,9.96,3784.8,-3157.8
31/12/22,XP,Tesouro Selic 2025,0.08,12471.95,997.756,185.9392
31/12/22,Avenue,NVDA,2.1504,133.73,287.57299,1654.49621
31/12/22,Avenue,SPHD,19,40.72,773.68,70.3
31/12/22,Avenue,QQQ,1.7945,245.96,441.37522,347.46904
31/12/22,Avenue,NOBL,7.9013,87.62,692.31191,86.59824
31/12/22,Avenue,AMZN,4,135.7,542.8,209
31/12/22,Avenue,COST,0.9532,357.11,340.39725,387.15171
31/12/22,Avenue,ASML,0.69433,492.54,341.9853,291.41724
31/12/22,Avenue,VNQI,14.49695,57.62,835.31426,-227.31218
31/12/22,Avenue,PANW,2,175.78,351.56,254.54
31/12/22,Avenue,IJS,5.96744,86.41,515.64649,79.60565
31/12/22,Avenue,CMG,0.18633,1601.99,298.4988,295.02374
31/12/22,Avenue,GOOGL,3,110.29,330.87,177.21
31/12/22,Avenue,APH,4,79.24,316.96,189.56
31/12/22,Avenue,VNQ,6.03939,84.54,510.57003,-18.7825
31/12/22,Avenue,POOL,1.21404,381.33,462.94987,-18.61123
31/12/22,Avenue,DIS,4.00000451,158.23,632.92071,-211.16023
31/12/22,Avenue,MCD,1.55974,237.85,370.98416,47.79043
31/12/22,Avenue,RACE,1,197.47,197.47,208.84
31/12/22,Avenue,HON,2,202.72,405.44,-9.32
31/12/22,Avenue,PLD,3.7257,139.03,517.98407,-123.50695
31/12/22,Avenue,CSCO,8,45.29,362.32,21.52
31/12/22,Avenue,TMO,0.6581,479.57,315.60502,61.81533
31/12/22,Avenue,SBUX,4.96362,92.08,457.05013,-92.22406
31/12/22,Avenue,SCHH,17,19.95,339.15,-12.24
31/12/22,Avenue,JNJ,2.13641,163.82,349.98669,-31.72569
31/12/22,Avenue,MNST,5.47233,89.44,489.4452,-192.24296
31/12/22,Avenue,DG,1.76,205.67,361.9792,-119.9616
31/12/22,Avenue,MELI,0.1377,1371.82,188.89961,47.70617
31/12/22,Avenue,O,4,64.74,258.96,-39.84
31/12/22,Avenue,VOO,0.3574,278.26,99.450124,70.482856
31/12/22,Avenue,FOXF,3,96.2,288.6,-151.56
31/12/22,Avenue,VBR,0.56915,175.7,99.999655,6.124055
31/12/22,Avenue,NKE,1,106.23,106.23,-12.6
31/12/22,Avenue,SRNG,8,9.86,78.88,14.4
31/12/22,Avenue,TSLA,0.38897,275.18,107.03676,-39.235399
31/12/22,Avenue,DNA,-8,1.81,-14.48,7.44
