Data,Corretora,Ativo,Qtd,Preço médio,Total investido,Retorno
31/12/23,XP,HGBS11,29,187.19,5428.51,984.26
31/12/23,XP,XPML11,52,113.47,5900.44,173.16
31/12/23,XP,KNRI11,37,153.25,5670.25,399.23
31/12/23,XP,HGRE11,48,138.32,6639.36,-701.76
31/12/23,XP,HGLG11,34,171.32,5824.88,-159.12
31/12/23,XP,HGRU11,42,117.89,4951.38,555.66
31/12/23,XP,XPLG11,52,124.81,6490.12,-1055.6
31/12/23,XP,BTLG11,52,101.59,5282.68,11.96
31/12/23,XP,ALZR11,45,121.61,5472.45,-220.95
31/12/23,XP,BTAL11,62,96.67,5993.54,-1711.82
31/12/23,XP,BRCO11,35,122.48,4286.8,-104.3
31/12/23,Itaú,ALZR11,3,115.74,347.22,2.88
31/12/23,XP,ITUB3,314,22.75,7143.5,1667.34
31/12/23,XP,TOTS3,196,20.96,4108.16,1362.2
31/12/23,XP,WEGE3,121,12.35,1494.35,3179.88
31/12/23,XP,PSSA3,136,31.56,4292.16,-239.36
31/12/23,XP,ARZZ3,74,49.02,3627.48,202.02
31/12/23,XP,BBSE3,115,22.33,2567.95,1256.95
31/12/23,XP,TIMS3,200,14.37,2874,836
31/12/23,XP,EGIE3,80,41.45,3316,147.2
31/12/23,XP,LEVE3,108,24.29,2623.32,791.64
31/12/23,XP,EQTL3,104,24.65,2563.6,682.24
31/12/23,XP,CSUD3,174,15.5,2697,438.48
31/12/23,XP,FRAS3,163,12.22,1991.86,994.3
31/12/23,XP,BBDC3,240,21.69,5205.6,-2248.8
31/12/23,XP,RADL3,108,23,2484,359.64
31/12/23,XP,AGRO3,106,31.34,3322.04,-619.04
31/12/23,XP,B3SA3,229,12.63,2892.27,-256.48
31/12/23,XP,VIVA3,110,25.78,2835.8,-298.1
31/12/23,XP,MULT3,100,25.86,2586,-145
31/12/23,XP,PRIO3,48,39,1872,393.12
31/12/23,XP,FLRY3,150,20.31,3046.5,-813
31/12/23,XP,HYPE3,67,29.96,2007.32,4.69
31/12/23,XP,ABEV3,156,13.94,2174.64,-232.44
31/12/23,XP,SOMA3,241,11.92,2872.72,-1400.21
31/12/23,XP,MOVI3,195,13.22,2577.9,-1152.45
31/12/23,XP,FIQE3,363,3.83,1390.29,-43.56
31/12/23,XP,PETZ3,246,15.44,3798.24,-2551.02
31/12/23,XP,TFCO4,106,11.38,1206.28,33.92
31/12/23,Itaú,TFCO4,100,12.64,1264,-94
31/12/23,Itaú,FIQE3,220,3.88,853.6,-37.4
31/12/23,Itaú,ABEV3,64,13.73,878.72,-81.92
31/12/23,Itaú,HYPE3,21,32.36,679.56,-48.93
31/12/23,Itaú,FRAS3,31,15.81,490.11,77.81
31/12/23,Itaú,MULT3,18,27.56,496.08,-56.7
31/12/23,Itaú,FLRY3,27,17.76,479.52,-77.49
31/12/23,Itaú,PRIO3,7,39.53,276.71,53.62
31/12/23,Itaú,AGRO3,10,24.91,249.1,5.9
31/12/23,Itaú,Tesouro Selic 2026,2.14,13946.62,29845.767,1769.502
31/12/23,XP,Tesouro Selic 2026,0.25,12922.37,3230.5925,462.78
31/12/23,XP,Tesouro Selic 2025,0.08,12471.95,997.756,185.0176
31/12/23,XP,Tesouro Prefixado 2026,0.6,796.32,477.792,29.64
31/12/23,XP,IVVB11,31,163.06,5054.86,4000.24
31/12/23,Avenue,NVDA,2.1504,133.73,287.57299,1693.82711
31/12/23,Avenue,SPHD,19,40.72,773.68,61.37
31/12/23,Avenue,QQQ,1.7945,245.96,441.37522,348.24067
31/12/23,Avenue,NOBL,7.9013,87.62,692.31191,81.85746
31/12/23,Avenue,AMZN,4,135.7,542.8,211.92
31/12/23,Avenue,COST,0.9532,357.11,340.39725,380.89872
31/12/23,Avenue,ASML,0.69433,492.54,341.9853,294.7778
31/12/23,Avenue,CMG,0.19601,1600.84,313.78065,312.82216
31/12/23,Avenue,VNQI,14.49695,57.62,835.31426,-221.5134
31/12/23,Avenue,PANW,2,175.78,351.56,250.18
31/12/23,Avenue,IJS,5.96744,86.41,515.64649,79.36695
31/12/23,Avenue,MNST,10.94466,44.72,489.4452,103.86482
31/12/23,Avenue,KLAC,0.73,393.79,287.4667,236.9361
31/12/23,Avenue,GOOGL,3,110.29,330.87,173.43
31/12/23,Avenue,APH,4,79.24,316.96,182.24
31/12/23,Avenue,VNQ,6.03939,84.54,510.57003,-18.7825
31/12/23,Avenue,DIS,4.00000451,158.23,632.92071,-167.28018
31/12/23,Avenue,POOL,1.21404,381.33,462.94987,-12.56531
31/12/23,Avenue,RACE,1,197.47,197.47,229.93
31/12/23,Avenue,MCD,1.55974,237.85,370.98416,49.10061
31/12/23,Avenue,HON,2,202.72,405.44,-15.44
31/12/23,Avenue,PLD,3.7257,139.03,517.98407,-128.20134
31/12/23,Avenue,O,7,65.39,457.73,-69.3
31/12/23,Avenue,TRNO,7,61.61,431.27,-52.57
31/12/23,Avenue,TMO,0.6581,479.57,315.60502,61.67055
31/12/23,Avenue,CSCO,8,45.29,362.32,14.48
31/12/23,Avenue,KO,6,59.86,359.16,15.06
31/12/23,Avenue,SBUX,4.96362,92.08,457.05013,-95.1526
31/12/23,Avenue,SCHH,18.3,20.01,366.183,-14.64
31/12/23,Avenue,JNJ,2.13641,163.82,349.98669,-32.58026
31/12/23,Avenue,NKE,3,118.24,354.72,-74.64
31/12/23,Avenue,DG,1.76,205.67,361.9792,-122.32
31/12/23,Avenue,MELI,0.1377,1371.82,188.89961,38.5863
31/12/23,Avenue,TSLA,1,212.23,212.23,-27.34
31/12/23,Avenue,VOO,0.3574,278.26,99.450124,70.221956
31/12/23,Avenue,INMD,8.3,34.73,288.259,-133.381
31/12/23,Avenue,FOXF,3,96.2,288.6,-155.52
31/12/23,Avenue,VBR,0.56915,175.7,99.999655,6.089905
31/12/23,Avenue,SRNG,8,9.86,78.88,14.4
31/12/23,Avenue,DNA,-8,1.81,-14.48,6.56
