Data,Corretora,Ativo,Op,Quantidade,Preco,Origem,Situação
31/01/19,Rico,BKBR3,Compra,70,21.88,B3I,Confirmada
31/01/19,Rico,GRND3,Compra,100,9.21,B3I,Confirmada
31/01/19,Rico,CIEL3,Compra,90,11.89,B3I,Confirmada
01/02/19,Rico,ABEV3,Compra,55,17.60,B3I,Confirmada
01/02/19,Rico,WEGE3,Compra,50,18.90,B3I,Confirmada
22/02/19,Rico,GRND3,Compra,80,8.69,B3I,Confirmada
22/02/19,Rico,LINX3,Compra,26,27.53,B3I,Confirmada
07/03/19,Rico,WEGE3,Compra,27,18.56,B3I,Confirmada
15/03/19,Rico,ABEV3,Compra,15,16.56,B3I,Confirmada
15/05/19,Rico,ABEV3,Compra,7,16.76,B3I,Confirmada
27/06/19,Rico,LREN3,Compra,22,46.78,B3I,Confirmada
27/06/19,Rico,FLRY3,Compra,50,21.42,B3I,Confirmada
31/07/19,Rico,HYPE3,Compra,3,30.34,B3I,Confirmada
14/08/19,Rico,MGLU3,Compra,3,37.54,B3I,Confirmada
16/08/19,Rico,ABEV3,Compra,2,18.85,B3I,Confirmada
23/08/19,Rico,ITSA3,Compra,8,12.08,B3I,Confirmada
26/08/19,Rico,MGLU3,Compra,3,34.04,B3I,Confirmada
09/09/19,Rico,CIEL3,Compra,80,7.52,B3I,Confirmada
09/09/19,Rico,WEGE3,Compra,45,22.72,B3I,Confirmada
09/09/19,Rico,TOTS3,Compra,25,50.50,B3I,Confirmada
09/09/19,Rico,HYPE3,Compra,32,32.55,B3I,Confirmada
09/09/19,Rico,PSSA3,Compra,25,56.68,B3I,Confirmada
10/09/19,Rico,SQIA3,Compra,20,68.00,B3I,Confirmada
11/09/19,Rico,ARZZ3,Compra,11,48.30,B3I,Confirmada
11/09/19,Rico,CIEL3,Compra,100,7.53,B3I,Confirmada
12/09/19,Rico,LREN3,Compra,15,51.10,B3I,Confirmada
08/10/19,Rico,SQIA3,Compra,26,15.24,B3I,Confirmada
08/10/19,Rico,FLRY3,Compra,20,24.31,B3I,Confirmada
22/10/19,Rico,MGLU3,Compra,18,43.18,B3I,Confirmada
22/10/19,Rico,ITSA3,Compra,14,13.61,B3I,Confirmada
29/10/19,Rico,ITSA4,Compra,88,13.76,AVI,Confirmada
31/10/19,Rico,ITUB3,Compra,147,31.33,VIR,Confirmada
31/10/19,Rico,BBDC3,Compra,127,32.64,VIR,Confirmada
31/10/19,Rico,ARZZ3,Compra,13,60.95,VIR,Confirmada
31/10/19,Rico,LINX3,Compra,211,35.00,VIR,Confirmada
31/10/19,Rico,TOTS3,Compra,20,61.93,VIR,Confirmada
31/10/19,Rico,COGN3,Compra,118,9.89,VIR,Confirmada
31/10/19,Rico,ITSA3,Compra,135,13.95,VIR,Confirmada
31/10/19,Rico,GRND3,Compra,92,9.98,VIR,Confirmada
31/10/19,Rico,ITUB4,Compra,45,36.47,VIR,Confirmada
31/10/19,Rico,CRFB3,Compra,30,19.49,VIR,Confirmada
31/10/19,Rico,HGTX3,Compra,56,33.80,VIR,Confirmada
31/10/19,Rico,LREN3,Compra,20,51.05,VIR,Confirmada
31/10/19,Rico,ABEV3,Compra,121,17.57,VIR,Confirmada
18/11/19,Rico,GRND3,Compra,6,10.08,B3I,Confirmada
04/12/19,Rico,MGLU3,Compra,9,45.59,B3I,Confirmada
20/12/19,Rico,ABEV3,Compra,21,18.92,B3I,Confirmada
20/12/19,Rico,ITSA3,Compra,29,13.97,B3I,Confirmada
08/01/20,Rico,BKBR3,Venda,70,17.45,B3I,Confirmada
09/01/20,Rico,CIEL3,Venda,270,7.49,B3I,Confirmada
09/01/20,Rico,LEVE3,Compra,40,29.30,B3I,Confirmada
14/01/20,Rico,COGN3,Venda,118,12.59,B3I,Confirmada
21/01/20,Rico,SQIA3,Compra,6,29.28,B3I,Confirmada
29/01/20,Rico,CRFB3,Venda,30,23.55,B3I,Confirmada
11/02/20,Rico,LOGG3,Compra,10,30.53,B3I,Confirmada
11/02/20,Rico,HGTX3,Venda,56,24.51,B3I,Confirmada
28/02/20,Rico,ABEV3,Compra,28,14.15,B3I,Confirmada
28/02/20,Rico,SQIA3,Compra,23,21.65,B3I,Confirmada
28/02/20,Rico,TOTS3,Compra,7,70.99,B3I,Confirmada
28/02/20,Rico,ITSA3,Compra,18,12.46,B3I,Confirmada
28/02/20,Rico,WEGE3,Compra,10,42.70,B3I,Confirmada
28/02/20,Rico,LOGG3,Compra,15,27.20,B3I,Confirmada
06/03/20,Rico,SQIA3,Compra,23,20.28,B3I,Confirmada
06/03/20,Rico,FLRY3,Compra,16,28.90,B3I,Confirmada
06/03/20,Rico,LEVE3,Compra,18,25.75,B3I,Confirmada
