Data,Corretora,Ativo,Op,Quantidade,Preco,Origem,Situação
27/08/19,Rico,FLMA11,Compra,3,4.04,B3I,Confirmada
13/09/19,Rico,KNRI11,Compra,1,156.00,B3I,Confirmada
13/09/19,Rico,ABCP11,Compra,1,93.40,B3I,Confirmada
26/09/19,Rico,HGLG11,Compra,4,153.60,B3I,Confirmada
26/09/19,Rico,KNRI11,Compra,4,158.85,B3I,Confirmada
08/10/19,Rico,KNRI11,Compra,4,159.74,B3I,Confirmada
15/10/19,Rico,FIGS11,Compra,1,64.96,B3I,Confirmada
22/10/19,Rico,XPML11,Compra,7,117.00,B3I,Confirmada
24/10/19,Rico,ABCP11,Compra,1,93.47,B3I,Confirmada
30/10/19,Rico,FLMA11,Compra,2,5.71,B3I,Confirmada
31/10/19,Rico,HGRE11,Compra,3,170.87,B3I,Confirmada
31/10/19,Rico,HGRE11,Compra,1,170.88,B3I,Confirmada
31/10/19,Rico,MBRF11,Compra,1,"1,225.00",VIR,Confirmada
31/10/19,Rico,ABCP11,Compra,20,95.97,VIR,Confirmada
31/10/19,Rico,FPAB11,Compra,5,400.00,VIR,Confirmada
31/10/19,Rico,FLMA11,Compra,1470,6.10,VIR,Confirmada
31/10/19,Rico,SAAG11,Compra,7,131.80,VIR,Confirmada
31/10/19,Rico,KNRE11,Compra,22,6.40,VIR,Confirmada
31/10/19,Rico,FIGS11,Compra,20,70.00,VIR,Confirmada
31/10/19,Rico,CTXT11,Compra,11,58.70,VIR,Confirmada
18/11/19,Rico,XPML11,Compra,2,129.09,B3I,Confirmada
18/11/19,Rico,FIGS11,Compra,1,70.64,B3I,Confirmada
22/11/19,Rico,FIGS12,Compra,2,0.00,B3I,Confirmada
04/12/19,Rico,HGRE11,Compra,4,167.88,B3I,Confirmada
09/12/19,Rico,FIGS12,Venda,2,0.00,B3I,Confirmada
13/12/19,Rico,ABCP11,Compra,1,100.40,B3I,Confirmada
20/12/19,Rico,HGLG11,Compra,3,194.44,B3I,Confirmada
08/01/20,Rico,XPLG11,Compra,8,138.50,B3I,Confirmada
09/01/20,Rico,XPLG11,Compra,3,136.90,B3I,Confirmada
09/01/20,Rico,XPML11,Compra,10,141.88,B3I,Confirmada
15/01/20,Rico,HGLG11,Compra,2,198.80,B3I,Confirmada
15/01/20,Rico,HGLG11,Compra,1,198.85,B3I,Confirmada
21/01/20,Rico,KNRE11,Venda,22,6.08,B3I,Confirmada
29/01/20,Rico,XPLG11,Compra,1,135.84,B3I,Confirmada
11/02/20,Rico,HGRE11,Compra,1,195.00,B3I,Confirmada
11/02/20,Rico,XPLG11,Compra,6,128.11,B3I,Confirmada
17/02/20,Rico,FIGS11,Compra,1,84.99,B3I,Confirmada
21/02/20,Rico,KNRI11,Compra,4,170.70,B3I,Confirmada
28/02/20,Rico,HGRE11,Compra,2,177.08,B3I,Confirmada
02/03/20,Rico,XPLG12,Compra,4,0.00,B3I,Confirmada
09/03/20,Rico,XPML11,Compra,7,117.67,B3I,Confirmada
12/03/20,Rico,HGLG11,Compra,3,154.09,B3I,Confirmada
13/03/20,Rico,FIGS11,Compra,1,69.49,B3I,Confirmada
16/03/20,Rico,FLMA11,Compra,7,3.26,B3I,Confirmada
17/03/20,Rico,FLMA11,Compra,2,3.21,B3I,Confirmada
17/03/20,Rico,XPLG12,Venda,4,0.00,B3I,Confirmada
25/03/20,Rico,XPML11,Compra,1,86.98,B3I,Confirmada
25/03/20,Rico,HGRE11,Compra,4,137.84,B3I,Confirmada
25/03/20,Rico,FLMA11,Compra,7,3.07,B3I,Confirmada
15/04/20,Rico,FLMA11,Compra,1,3.01,B3I,Confirmada
22/05/20,Rico,XPLG11,Compra,1,115.90,B3I,Confirmada
25/05/20,Rico,XPLG12,Compra,5,0.00,B3I,Confirmada
09/06/20,Rico,XPLG12,Venda,5,0.00,B3I,Confirmada
12/06/20,Rico,XPLG11,Compra,5,120.49,B3I,Confirmada
16/06/20,Rico,XPLG11,Compra,1,116.89,B3I,Confirmada
16/06/20,Rico,FIGS11,Compra,1,65.86,B3I,Confirmada
22/06/20,Rico,HGLG11,Compra,1,187.80,B3I,Confirmada
23/06/20,Rico,FLMA11,Compra,6,3.48,B3I,Confirmada
25/06/20,Rico,XPML11,Compra,4,104.06,B3I,Confirmada
25/06/20,Rico,KNRI11,Compra,3,167.98,B3I,Confirmada
29/06/20,Rico,HGLG11,Compra,1,189.16,B3I,Confirmada
29/06/20,Rico,HGLG11,Compra,4,189.34,B3I,Confirmada
29/06/20,Rico,FIGS11,Compra,1,63.10,B3I,Confirmada
29/06/20,Rico,HGLG11,Compra,1,189.32,B3I,Confirmada
29/06/20,Rico,FLMA11,Compra,6,3.33,B3I,Confirmada
10/07/20,Rico,HGLG12,Compra,9,0.00,B3I,Confirmada
28/07/20,Rico,HGLG12,Venda,9,0.00,B3I,Confirmada
28/07/20,Rico,RBVA11,Venda,6,125.42,B3I,Confirmada
28/07/20,Rico,ALZR11,Compra,8,121.75,B3I,Confirmada
28/07/20,Rico,ALZR11,Compra,16,122.07,B3I,Confirmada
28/07/20,Rico,HGBS11,Compra,7,201.39,B3I,Confirmada
28/07/20,Rico,ALZR11,Compra,1,122.05,B3I,Confirmada
28/07/20,Rico,CTXT11,Venda,11,47.80,B3I,Confirmada
28/07/20,Rico,FIGS11,Venda,2,59.95,B3I,Confirmada
28/07/20,Rico,MBRF11,Venda,1,"1,260.01",B3I,Confirmada
28/07/20,Rico,FPAB11,Venda,1,319.50,B3I,Confirmada
28/07/20,Rico,FIGS11,Venda,20,59.90,B3I,Confirmada
28/07/20,Rico,FIGS11,Venda,4,60.00,B3I,Confirmada
28/07/20,Rico,HGBS11,Compra,3,201.66,B3I,Confirmada
28/07/20,Rico,FPAB11,Venda,4,321.00,B3I,Confirmada
30/07/20,Rico,HGLG13,Compra,6,155.37,B3I,Confirmada
30/07/20,Rico,XPML11,Compra,1,101.41,B3I,Confirmada
03/08/20,Rico,FLMA11,Compra,4,2.98,B3I,Confirmada
03/08/20,Rico,XPLG11,Compra,8,125.19,B3I,Confirmada
03/08/20,Rico,ALZR11,Compra,9,118.02,B3I,Confirmada
03/08/20,Rico,XPML11,Compra,9,102.08,B3I,Confirmada
